month,year,temp
9,1877,53.4452
10,1877,56.5988
11,1877,59.7758
12,1877,61.889
1,1878,62.4236
2,1878,63.1724
3,1878,64.0778
4,1878,62.186
5,1878,56.1326
6,1878,55.4378
7,1878,52.4426
8,1878,51.7064
9,1878,56.057
10,1878,56.237
11,1878,60.3158
12,1878,64.8428
1,1879,64.2218
2,1879,63.4064
3,1879,64.6448
4,1879,58.9316
5,1879,58.8992
6,1879,54.2822
7,1879,52.457
8,1879,52.3832
9,1879,55.8914
10,1879,56.2028
11,1879,60.5894
12,1879,62.8142
1,1880,65.156
2,1880,67.4546
3,1880,65.849
4,1880,62.5262
5,1880,58.9658
6,1880,54.149
7,1880,53.447
8,1880,52.9862
9,1880,55.6736
10,1880,56.372
11,1880,60.2996
12,1880,61.88
1,1881,62.8358
2,1881,66.5078
3,1881,65.1218
4,1881,62.3894
5,1881,58.1054
6,1881,55.724
7,1881,53.7368
8,1881,53.5478
9,1881,54.7124
10,1881,56.4116
11,1881,59.909
12,1881,61.3328
1,1882,63.95
2,1882,64.0076
3,1882,65.8814
4,1882,62.3336
5,1882,56.9372
6,1882,55.7726
7,1882,53.2382
8,1882,52.5848
9,1882,55.3298
10,1882,55.2326
11,1882,57.9938
12,1882,63.0734
1,1883,66.4988
2,1883,67.5698
3,1883,66.0056
4,1883,59.7668
5,1883,57.5726
6,1883,54.7052
7,1883,53.186
8,1883,52.3112
9,1883,53.465
10,1883,55.049
11,1883,57.3908
12,1883,60.1736
1,1884,60.395
2,1884,62.1914
3,1884,62.2904
4,1884,59
5,1884,55.1102
6,1884,54.2336
7,1884,52.961
8,1884,53.8376
9,1884,54.1688
10,1884,55.6142
11,1884,57.0794
12,1884,60.629
1,1885,62.4416
2,1885,64.7294
3,1885,63.32
4,1885,59.3492
5,1885,56.7068
6,1885,55.1498
7,1885,53.8214
8,1885,52.322
9,1885,53.7494
10,1885,55.1138
11,1885,58.1846
12,1885,61.4156
1,1886,65.1902
2,1886,67.172
3,1886,64.6844
4,1886,62.0294
5,1886,57.2702
6,1886,53.006
7,1886,51.4418
8,1886,52.5488
9,1886,53.1788
10,1886,55.5548
11,1886,59.3492
12,1886,61.0826
1,1887,67.6958
2,1887,67.2818
3,1887,66.1226
4,1887,62.3516
5,1887,57.398
6,1887,55.4756
7,1887,53.2598
8,1887,50.8226
9,1887,53.4272
10,1887,55.382
11,1887,57.407
12,1887,60.476
1,1888,63.2462
2,1888,62.6252
3,1888,63.0212
4,1888,58.7786
5,1888,56.9876
6,1888,53.8592
7,1888,53.2688
8,1888,54.0266
9,1888,53.6252
10,1888,55.4774
11,1888,56.2874
12,1888,58.3574
1,1889,65.3126
2,1889,65.6438
3,1889,63.7178
4,1889,60.4274
5,1889,57.5258
6,1889,54.7448
7,1889,53.1392
8,1889,52.8134
9,1889,55.904
10,1889,56.8202
11,1889,58.8074
12,1889,62.6936
1,1890,62.3732
2,1890,66.074
3,1890,64.013
4,1890,62.0564
5,1890,57.182
6,1890,55.7168
7,1890,53.6972
8,1890,53.2256
9,1890,55.103
10,1890,57.722
11,1890,58.2656
12,1890,62.8574
1,1891,63.7664
2,1891,65.4764
3,1891,63.6818
4,1891,59.8388
5,1891,56.2838
6,1891,51.6722
7,1891,51.9278
8,1891,53.087
9,1891,55.0886
10,1891,56.4242
11,1891,59.2664
12,1891,64.3118
1,1892,64.4414
2,1892,65.2874
3,1892,65.813
4,1892,62.0924
5,1892,57.3224
6,1892,54.6674
7,1892,52.7342
8,1892,54.3722
9,1892,54.4604
10,1892,56.6384
11,1892,61.5326
12,1892,61.3796
1,1893,64.8392
2,1893,65.5826
3,1893,61.736
4,1893,61.6892
5,1893,59.5076
6,1893,54.7988
7,1893,54.0212
8,1893,55.1912
9,1893,55.8158
10,1893,58.3538
11,1893,62.6162
12,1893,61.9214
1,1894,66.4952
2,1894,66.461
3,1894,63.9932
4,1894,59.6714
5,1894,57.263
6,1894,54.8618
7,1894,52.8008
8,1894,52.4282
9,1894,53.5262
10,1894,56.4746
11,1894,59.369
12,1894,64.4774
1,1895,66.3926
2,1895,66.1892
3,1895,64.0562
4,1895,59.576
5,1895,57.3242
6,1895,54.284
7,1895,49.856
8,1895,51.0422
9,1895,54.653
10,1895,56.255
11,1895,57.6788
12,1895,63.6314
1,1896,65.2532
2,1896,65.0732
3,1896,65.5088
4,1896,61.5632
5,1896,57.5402
6,1896,55.5926
7,1896,53.402
8,1896,51.9332
9,1896,55.4864
10,1896,54.8402
11,1896,57.794
12,1896,64.3982
1,1897,65.282
2,1897,67.5266
3,1897,64.5656
4,1897,60.773
5,1897,58.0964
6,1897,54.329
7,1897,53.3984
8,1897,52.6856
9,1897,54.6152
10,1897,55.6286
11,1897,58.8524
12,1897,61.3634
1,1898,64.184
2,1898,63.0464
3,1898,62.582
4,1898,61.1852
5,1898,57.848
6,1898,54.6044
7,1898,53.5946
8,1898,52.9232
9,1898,54.41
10,1898,55.7258
11,1898,59.945
12,1898,63.2912
1,1899,64.9976
2,1899,65.435
3,1899,64.4108
4,1899,62.5514
5,1899,56.0822
6,1899,54.7304
7,1899,50.7902
8,1899,52.2824
9,1899,54.7484
10,1899,56.0768
11,1899,58.8128
12,1899,62.1266
1,1900,63.5216
2,1900,64.9418
3,1900,65.705
4,1900,63.8816
5,1900,58.001
6,1900,54.7088
7,1900,53.195
8,1900,54.6584
9,1900,54.2462
10,1900,57.452
11,1900,58.7264
12,1900,60.8306
1,1901,63.3002
2,1901,64.0166
3,1901,63.1346
4,1901,61.2158
5,1901,56.6996
6,1901,56.5016
7,1901,52.2374
8,1901,52.6334
9,1901,55.5188
10,1901,56.5088
11,1901,57.9272
12,1901,60.7568
1,1902,63.6782
2,1902,65.3342
3,1902,64.8788
4,1902,60.5408
5,1902,55.9454
6,1902,54.4154
7,1902,51.2114
8,1902,51.4832
9,1902,51.4508
10,1902,53.996
11,1902,57.4736
12,1902,59.7794
1,1903,61.9214
2,1903,64.7798
3,1903,63.455
4,1903,59.351
5,1903,56.939
6,1903,53.7134
7,1903,53.015
8,1903,52.1906
9,1903,54.1328
10,1903,58.8254
11,1903,61.1024
12,1903,64.2344
1,1904,64.2776
2,1904,64.607
3,1904,63.6494
4,1904,60.1376
5,1904,56.7086
6,1904,53.8628
7,1904,52.9268
8,1904,52.5434
9,1904,53.7818
10,1904,55.0958
11,1904,57.5834
12,1904,59.018
1,1905,61.6046
2,1905,64.778
3,1905,64.1372
4,1905,60.9404
5,1905,58.9136
6,1905,54.5288
7,1905,52.2824
8,1905,52.61
9,1905,54.2426
10,1905,54.9896
11,1905,59.126
12,1905,61.304
1,1906,62.1986
2,1906,62.897
3,1906,62.2706
4,1906,59.6426
5,1906,56.7086
6,1906,53.663
7,1906,53.5352
8,1906,52.889
9,1906,53.5748
10,1906,56.399
11,1906,58.262
12,1906,62.2886
1,1907,65.0444
2,1907,65.0462
3,1907,65.5232
4,1907,62.8358
5,1907,56.795
6,1907,53.9258
7,1907,52.8746
8,1907,53.5262
9,1907,54.0806
10,1907,56.12
11,1907,60.908
12,1907,65.138
1,1908,65.678
2,1908,65.7032
3,1908,65.0084
4,1908,61.0646
5,1908,58.4276
6,1908,54.5288
7,1908,51.827
8,1908,52.0196
9,1908,54.6044
10,1908,55.1534
11,1908,59.0054
12,1908,60.8666
1,1909,63.1886
2,1909,65.2496
3,1909,65.3576
4,1909,60.7262
5,1909,58.874
6,1909,56.6186
7,1909,54.9716
8,1909,54.0068
9,1909,55.4414
10,1909,56.3432
11,1909,60.6308
12,1909,64.3388
1,1910,66.9434
2,1910,68.585
3,1910,66.1334
4,1910,59.6534
5,1910,58.487
6,1910,55.6394
7,1910,53.546
8,1910,54.0068
9,1910,54.7772
10,1910,57.4646
11,1910,60.7172
12,1910,62.1086
1,1911,64.0544
2,1911,64.4558
3,1911,65.9552
4,1911,64.6502
5,1911,58.5716
6,1911,54.8042
7,1911,53.0888
8,1911,53.5748
9,1911,54.536
10,1911,55.463
11,1911,58.6562
12,1911,60.1016
1,1912,63.2624
2,1912,63.8708
3,1912,62.5748
4,1912,60.7388
5,1912,55.8914
6,1912,54.1814
7,1912,52.4516
8,1912,51.5984
9,1912,55.292
10,1912,56.1452
11,1912,58.7192
12,1912,61.8908
1,1913,65.552
2,1913,65.8364
3,1913,66.1532
4,1913,59.7722
5,1913,54.5828
6,1913,53.303
7,1913,53.9636
8,1913,54.2174
9,1913,55.2308
10,1913,57.3134
11,1913,59.5616
12,1913,60.143
1,1914,67.3142
2,1914,66.362
3,1914,65.336
4,1914,61.6064
5,1914,56.3342
6,1914,53.6648
7,1914,52.5218
8,1914,52.4732
9,1914,54.2714
10,1914,55.9814
11,1914,58.6814
12,1914,60.656
1,1915,66.2378
2,1915,66.0956
3,1915,63.0266
4,1915,60.0746
5,1915,57.1388
6,1915,55.0544
7,1915,54.3488
8,1915,53.5208
9,1915,57.245
10,1915,58.2512
11,1915,59.423
12,1915,62.546
1,1916,64.7762
2,1916,68.5256
3,1916,67.4726
4,1916,61.8908
5,1916,59.1242
6,1916,56.8688
7,1916,54.6044
8,1916,53.573
9,1916,55.1966
10,1916,56.9642
11,1916,60.4796
12,1916,64.1282
1,1917,65.7878
2,1917,65.0264
3,1917,63.644
4,1917,62.3282
5,1917,58.7714
6,1917,55.3046
7,1917,54.716
8,1917,53.069
9,1917,55.319
10,1917,57.6356
11,1917,59.963
12,1917,61.9538
1,1918,65.2154
2,1918,66.254
3,1918,64.2704
4,1918,62.114
5,1918,57.8534
6,1918,55.2452
7,1918,51.17
8,1918,52.6244
9,1918,53.9996
10,1918,56.741
11,1918,58.6148
12,1918,59.6354
1,1919,63.14
2,1919,66.947
3,1919,63.8798
4,1919,59.6102
5,1919,56.606
6,1919,54.1994
7,1919,53.1158
8,1919,52.538
9,1919,53.2274
10,1919,55.9724
11,1919,57.083
12,1919,60.3878
1,1920,63.2318
2,1920,66.272
3,1920,64.508
4,1920,60.827
5,1920,55.8734
6,1920,55.0364
7,1920,52.754
8,1920,52.394
9,1920,54.077
10,1920,56.759
11,1920,59.144
12,1920,62.798
1,1921,64.4954
2,1921,65.2766
3,1921,64.6358
4,1921,59.6498
5,1921,58.073
6,1921,56.363
7,1921,53.5928
8,1921,53.7188
9,1921,55.5584
10,1921,57.5852
11,1921,58.7534
12,1921,62.2544
1,1922,66.137
2,1922,66.4178
3,1922,64.5926
4,1922,61.1402
5,1922,58.3124
6,1922,53.6324
7,1922,52.898
8,1922,53.906
9,1922,54.3056
10,1922,57.9992
11,1922,59.6732
12,1922,62.7404
1,1923,64.7276
2,1923,64.3622
3,1923,62.915
4,1923,58.9208
5,1923,58.5068
6,1923,54.7916
7,1923,52.2626
8,1923,51.6668
9,1923,54.6944
10,1923,56.6528
11,1923,60.4274
12,1923,64.1516
1,1924,66.227
2,1924,67.4492
3,1924,66.8372
4,1924,64.8824
5,1924,58.2368
6,1924,54.9698
7,1924,52.7576
8,1924,53.3768
9,1924,55.7132
10,1924,57.3116
11,1924,60.2546
12,1924,61.0826
1,1925,64.9364
2,1925,65.2892
3,1925,63.3218
4,1925,60.3086
5,1925,58.0766
6,1925,54.4766
7,1925,53.0438
8,1925,52.2374
9,1925,53.7872
10,1925,56.651
11,1925,57.884
12,1925,62.0726
1,1926,65.327
2,1926,62.7602
3,1926,63.1976
4,1926,61.8656
5,1926,58.8758
6,1926,53.6792
7,1926,53.8196
8,1926,53.4488
9,1926,54.5054
10,1926,58.0244
11,1926,58.1036
12,1926,61.6136
1,1927,65.6492
2,1927,66.8372
3,1927,64.508
4,1927,60.3032
5,1927,57.5294
6,1927,53.0564
7,1927,54.1508
8,1927,52.907
9,1927,55.139
10,1927,56.4332
11,1927,59.0792
12,1927,61.457
1,1928,64.8104
2,1928,68.6066
3,1928,66.6428
4,1928,64.8122
5,1928,60.6128
6,1928,55.148
7,1928,54.221
8,1928,53.8088
9,1928,55.8734
10,1928,57.3062
11,1928,60.5678
12,1928,62.8448
1,1929,65.7824
2,1929,65.597
3,1929,66.4592
4,1929,61.637
5,1929,57.7076
6,1929,56.561
7,1929,52.5218
8,1929,53.087
9,1929,53.5748
10,1929,57.164
11,1929,60.7892
12,1929,62.6846
1,1930,64.6124
2,1930,65.156
3,1930,63.6566
4,1930,60.7676
5,1930,56.3288
6,1930,54.1256
7,1930,52.0682
8,1930,54.4244
9,1930,53.4182
10,1930,55.0418
11,1930,57.5492
12,1930,62.7134
1,1931,65.273
2,1931,62.582
3,1931,63.0248
4,1931,61.3364
5,1931,56.5142
6,1931,54.4226
7,1931,54.7412
8,1931,53.717
9,1931,53.3012
10,1931,56.0444
11,1931,62.1554
12,1931,62.7188
1,1932,64.1444
2,1932,65.7878
3,1932,64.7924
4,1932,62.2526
5,1932,57.056
6,1932,54.176
7,1932,51.4364
8,1932,51.953
9,1932,55.0256
10,1932,58.6904
11,1932,59.9396
12,1932,63.0086
1,1933,66.7778
2,1933,68.0792
3,1933,65.993
4,1933,62.1266
5,1933,58.64
6,1933,53.3264
7,1933,53.6846
8,1933,53.3246
9,1933,55.1462
10,1933,56.6114
11,1933,59.603
12,1933,63.5198
1,1934,63.329
2,1934,65.1704
3,1934,63.7754
4,1934,61.8368
5,1934,57.002
6,1934,54.8816
7,1934,52.3094
8,1934,53.7746
9,1934,55.2452
10,1934,57.1316
11,1934,61.9844
12,1934,67.0496
1,1935,69.206
2,1935,69.5552
3,1935,66.2738
4,1935,63.2696
5,1935,57.0308
6,1935,55.9256
7,1935,53.4722
8,1935,53.564
9,1935,53.1248
10,1935,57.2936
11,1935,57.956
12,1935,64.688
1,1936,65.9354
2,1936,65.7518
3,1936,63.2228
4,1936,62.5406
5,1936,55.7276
6,1936,54.1382
7,1936,52.5722
8,1936,54.6962
9,1936,54.0554
10,1936,58.6688
11,1936,60.044
12,1936,61.8044
1,1937,64.1912
2,1937,63.8654
3,1937,64.5314
4,1937,60.296
5,1937,58.1576
6,1937,53.339
7,1937,52.0556
8,1937,53.2184
9,1937,54.4442
10,1937,55.9742
11,1937,60.6344
12,1937,65.7824
1,1938,68.198
2,1938,70.3742
3,1938,68.3492
4,1938,67.4168
5,1938,60.125
6,1938,55.355
7,1938,53.5046
8,1938,54.1166
9,1938,55.346
10,1938,57.4376
11,1938,62.2616
12,1938,61.9898
1,1939,62.942
2,1939,64.1534
3,1939,65.1434
4,1939,61.8746
5,1939,58.6022
6,1939,57.1298
7,1939,51.4112
8,1939,53.69
9,1939,54.8546
10,1939,55.4108
11,1939,59.2016
12,1939,62.4182
1,1940,66.2738
2,1940,65.21
3,1940,63.0788
4,1940,58.3736
5,1940,55.6322
6,1940,53.9978
7,1940,52.3292
8,1940,54.3164
9,1940,55.4468
10,1940,56.6096
11,1940,58.1558
12,1940,64.6016
1,1941,66.8156
2,1941,66.6086
3,1941,65.9246
4,1941,59.8712
5,1941,58.226
6,1941,53.5298
7,1941,53.2562
8,1941,52.5614
9,1941,54.8114
10,1941,55.409
11,1941,59.2826
12,1941,62.8808
1,1942,63.6026
2,1942,64.8698
3,1942,65.57
4,1942,62.537
5,1942,58.8254
6,1942,54.5864
7,1942,55.0184
8,1942,54.5432
9,1942,55.85
10,1942,59.1728
11,1942,60.557
12,1942,62.7242
1,1943,65.7194
2,1943,66.7112
3,1943,63.7718
4,1943,61.7396
5,1943,57.0974
6,1943,55.8698
7,1943,53.1626
8,1943,52.3976
9,1943,54.797
10,1943,56.246
11,1943,60.6938
12,1943,64.6448
1,1944,66.7598
2,1944,66.9776
3,1944,65.2442
4,1944,62.5622
5,1944,56.8184
6,1944,53.9528
7,1944,53.5442
8,1944,53.645
9,1944,54.1778
10,1944,57.3908
11,1944,59.7434
12,1944,61.2248
1,1945,66.1064
2,1945,66.119
3,1945,63.8474
4,1945,61.7936
5,1945,56.5286
6,1945,52.3256
7,1945,52.3094
8,1945,55.85
9,1945,54.8834
10,1945,55.0094
11,1945,60.5768
12,1945,60.1016
1,1946,64.0508
2,1946,67.0298
3,1946,65.3126
4,1946,63.1922
5,1946,60.1574
6,1946,56.8328
7,1946,55.8536
8,1946,54.8924
9,1946,55.985
10,1946,56.6744
11,1946,57.119
12,1946,60.8666
1,1947,63.0356
2,1947,64.5062
3,1947,64.3658
4,1947,62.168
5,1947,57.9884
6,1947,55.6664
7,1947,54.3542
8,1947,53.8916
9,1947,55.391
10,1947,57.119
11,1947,59.0846
12,1947,64.1696
1,1948,66.6374
2,1948,66.4862
3,1948,67.1324
4,1948,62.555
5,1948,59.1278
6,1948,54.518
7,1948,55.5044
8,1948,53.7818
9,1948,56.6672
10,1948,58.2764
11,1948,60.3806
12,1948,62.7872
1,1949,64.4936
2,1949,67.7714
3,1949,64.3946
4,1949,58.5842
5,1949,57.8948
6,1949,56.5412
7,1949,55.7636
8,1949,53.7188
9,1949,54.9266
10,1949,58.6616
11,1949,60.6254
12,1949,62.483
1,1950,66.119
2,1950,66.227
3,1950,64.7996
4,1950,61.7774
5,1950,62.0996
6,1950,56.4944
7,1950,53.6648
8,1950,53.4956
9,1950,55.6736
10,1950,58.2098
11,1950,62.0042
12,1950,64.9904
1,1951,65.8652
2,1951,65.6474
3,1951,65.5988
4,1951,61.9376
5,1951,56.678
6,1951,52.8242
7,1951,53.789
8,1951,52.3256
9,1951,54.8222
10,1951,57.137
11,1951,60.1538
12,1951,60.7154
1,1952,63.3578
2,1952,68.1584
3,1952,64.0832
4,1952,61.2914
5,1952,57.8408
6,1952,56.5376
7,1952,52.0826
8,1952,54.9914
9,1952,54.8222
10,1952,57.7292
11,1952,59.7776
12,1952,62.5514
1,1953,63.5648
2,1953,64.6466
3,1953,64.9904
4,1953,61.907
5,1953,59.4824
6,1953,56.4224
7,1953,53.213
8,1953,54.3812
9,1953,56.003
10,1953,56.6996
11,1953,61.6748
12,1953,64.787
1,1954,66.8498
2,1954,68.8694
3,1954,66.1604
4,1954,60.4634
5,1954,59.252
6,1954,56.1758
7,1954,54.0374
8,1954,53.2418
9,1954,54.3272
10,1954,55.5998
11,1954,62.0492
12,1954,64.0886
1,1955,66.3908
2,1955,70.6208
3,1955,67.3574
4,1955,63.896
5,1955,61.2248
6,1955,54.7466
7,1955,52.4426
8,1955,55.0472
9,1955,55.8716
10,1955,58.1234
11,1955,59.8586
12,1955,64.3262
1,1956,68.2988
2,1956,67.5554
3,1956,64.526
4,1956,66.713
5,1956,60.395
6,1956,57.4052
