month,year,temp
6,1776,62.8178
7,1776,66.7058
8,1776,65.3018
9,1776,57.4178
10,1776,51.8198
11,1776,42.6578
12,1776,38.237
1,1777,34.7072
2,1777,36.0194
3,1777,46.571
4,1777,47.1074
5,1777,55.6898
6,1777,60.7856
7,1777,64.04
8,1777,66.3008
9,1777,60.1502
10,1777,52.5452
11,1777,44.7962
12,1777,35.0132
1,1778,35.537
2,1778,37.1534
3,1778,43.07
4,1778,51.2942
5,1778,58.712
6,1778,62.9528
7,1778,69.4616
8,1778,66.8264
9,1778,56.5358
10,1778,48.7796
11,1778,44.6
12,1778,42.3284
1,1779,31.7354
2,1779,42.4346
3,1779,45.7538
4,1779,53.3012
5,1779,59.0036
6,1779,60.791
7,1779,67.046
8,1779,67.0838
9,1779,62.4992
10,1779,54.4532
11,1779,43.898
12,1779,41.4662
1,1780,31.2458
2,1780,35.456
3,1780,48.839
4,1780,48.9056
5,1780,60.017
6,1780,63.626
7,1780,67.1144
8,1780,68.3456
9,1780,60.953
10,1780,51.872
11,1780,41.4878
12,1780,35.8376
1,1781,35.9816
2,1781,41.549
3,1781,45.4946
4,1781,52.5218
5,1781,59.126
6,1781,65.0984
7,1781,67.7588
8,1781,67.1738
9,1781,60.5012
10,1781,50.1764
11,1781,43.7738
12,1781,40.9838
1,1782,40.2422
2,1782,32.4554
3,1782,41.5148
4,1782,46.2164
5,1782,53.5406
6,1782,65.5016
7,1782,67.6796
8,1782,63.8492
9,1782,59.1368
10,1782,47.4566
11,1782,37.0256
12,1782,35.2094
1,1783,40.0964
2,1783,42.251
3,1783,41.2214
4,1783,51.3032
5,1783,56.7824
6,1783,63.5828
7,1783,70.3706
8,1783,65.6906
9,1783,59.5616
10,1783,51.773
11,1783,43.565
12,1783,35.5568
1,1784,31.1414
2,1784,33.5642
3,1784,40.5374
4,1784,45.257
5,1784,61.6784
6,1784,64.0526
7,1784,66.1874
8,1784,62.0744
9,1784,61.862
10,1784,45.491
11,1784,43.502
12,1784,32.6714
1,1785,37.0508
2,1785,32.7506
3,1785,34.763
4,1785,46.2308
5,1785,56.606
6,1785,63.1616
7,1785,65.5034
8,1785,62.204
9,1785,61.8836
10,1785,49.9478
11,1785,42.4364
12,1785,36.4226
1,1786,38.0678
2,1786,38.6906
3,1786,37.949
